go_id	category	go_term
GO:0003365	Process	establishment of cell polarity involved in ameboidal cell migration
GO:0003366	Process	cell-matrix adhesion involved in ameboidal cell migration
GO:0003370	Process	cell-cell adhesion involved in mesendodermal cell migration
GO:0003374	Process	dynamin family protein polymerization involved in mitochondrial fission
GO:0003376	Process	sphingosine-1-phosphate receptor signaling pathway
GO:0003379	Process	establishment of cell polarity involved in gastrulation cell migration
GO:0003380	Process	establishment or maintenance of cytoskeleton polarity involved in gastrulation
GO:0003381	Process	epithelial cell morphogenesis involved in gastrulation
GO:0003382	Process	epithelial cell morphogenesis
GO:0003383	Process	apical constriction
GO:0003384	Process	apical constriction involved in gastrulation
GO:0003386	Process	amphid sensory organ development
GO:0003387	Process	neuron differentiation involved in amphid sensory organ development
GO:0003388	Process	neuron development involved in amphid sensory organ development
GO:0003391	Process	amphid sensory organ dendrite retrograde extension
GO:0003400	Process	regulation of COPII vesicle coating
GO:0003401	Process	axis elongation
GO:0003402	Process	planar cell polarity pathway involved in axis elongation
GO:0003403	Process	optic vesicle formation
GO:0003404	Process	optic vesicle morphogenesis
GO:0003406	Process	retinal pigment epithelium development
GO:0003407	Process	neural retina development
GO:0003408	Process	optic cup formation involved in camera-type eye development
GO:0003409	Process	optic cup structural organization
GO:0003412	Process	establishment of epithelial cell apical/basal polarity involved in camera-type eye morphogenesis
GO:0003413	Process	chondrocyte differentiation involved in endochondral bone morphogenesis
GO:0003415	Process	chondrocyte hypertrophy
GO:0003416	Process	endochondral bone growth
GO:0003417	Process	growth plate cartilage development
GO:0003418	Process	growth plate cartilage chondrocyte differentiation
GO:0003419	Process	growth plate cartilage chondrocyte proliferation
GO:0003420	Process	regulation of growth plate cartilage chondrocyte proliferation
GO:0003421	Process	growth plate cartilage axis specification
GO:0003428	Process	chondrocyte intercalation involved in growth plate cartilage morphogenesis
GO:0003429	Process	growth plate cartilage chondrocyte morphogenesis
GO:0003430	Process	growth plate cartilage chondrocyte growth
GO:0003431	Process	growth plate cartilage chondrocyte development
GO:0003433	Process	chondrocyte development involved in endochondral bone morphogenesis
GO:0003674	Function	molecular_function
GO:0003676	Function	nucleic acid binding
GO:0003677	Function	DNA binding
GO:0003678	Function	DNA helicase activity
GO:0003680	Function	AT DNA binding
GO:0003681	Function	bent DNA binding
GO:0003682	Function	chromatin binding
GO:0003684	Function	damaged DNA binding
GO:0003688	Function	DNA replication origin binding
GO:0003689	Function	DNA clamp loader activity
GO:0003690	Function	double-stranded DNA binding
GO:0003691	Function	double-stranded telomeric DNA binding
GO:0003692	Function	left-handed Z-DNA binding
GO:0003693	Function	P-element binding
GO:0003696	Function	satellite DNA binding
GO:0003697	Function	single-stranded DNA binding
GO:0003700	Function	DNA-binding transcription factor activity
GO:0003707	Function	steroid hormone receptor activity
GO:0003711	Function	transcription elongation regulator activity
GO:0003712	Function	transcription coregulator activity
GO:0003713	Function	transcription coactivator activity
GO:0003714	Function	transcription corepressor activity
GO:0003720	Function	telomerase activity
GO:0003721	Function	telomerase RNA reverse transcriptase activity
GO:0003723	Function	RNA binding
GO:0003724	Function	RNA helicase activity
GO:0003725	Function	double-stranded RNA binding
GO:0003726	Function	double-stranded RNA adenosine deaminase activity
GO:0003727	Function	single-stranded RNA binding
GO:0003729	Function	mRNA binding
GO:0003730	Function	mRNA 3'-UTR binding
GO:0003735	Function	structural constituent of ribosome
GO:0003743	Function	translation initiation factor activity
GO:0003746	Function	translation elongation factor activity
GO:0003747	Function	translation release factor activity
GO:0003755	Function	peptidyl-prolyl cis-trans isomerase activity
GO:0003756	Function	protein disulfide isomerase activity
GO:0003774	Function	motor activity
GO:0003777	Function	microtubule motor activity
GO:0003779	Function	actin binding
GO:0003785	Function	actin monomer binding
GO:0003786	Function	actin lateral binding
GO:0003796	Function	lysozyme activity
GO:0003810	Function	protein-glutamine gamma-glutamyltransferase activity
GO:0003823	Function	antigen binding
GO:0003824	Function	catalytic activity
GO:0003825	Function	alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity
GO:0003826	Function	alpha-ketoacid dehydrogenase activity
GO:0003827	Function	alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity
GO:0003828	Function	alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity
GO:0003829	Function	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity
GO:0003830	Function	beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity
GO:0003831	Function	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity
GO:0003832	Function	beta-alanyl-dopamine hydrolase activity
GO:0003833	Function	beta-alanyl-dopamine synthase activity
GO:0003834	Function	beta-carotene 15,15'-monooxygenase activity
GO:0003835	Function	beta-galactoside alpha-2,6-sialyltransferase activity
GO:0003836	Function	beta-galactoside (CMP) alpha-2,3-sialyltransferase activity
GO:0003837	Function	beta-ureidopropionase activity
GO:0003838	Function	sterol 24-C-methyltransferase activity
GO:0003839	Function	gamma-glutamylcyclotransferase activity
GO:0003841	Function	1-acylglycerol-3-phosphate O-acyltransferase activity
GO:0003842	Function	1-pyrroline-5-carboxylate dehydrogenase activity
GO:0003843	Function	1,3-beta-D-glucan synthase activity
GO:0003844	Function	1,4-alpha-glucan branching enzyme activity
GO:0003845	Function	11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity
GO:0003846	Function	2-acylglycerol O-acyltransferase activity
GO:0003847	Function	1-alkyl-2-acetylglycerophosphocholine esterase activity
GO:0003848	Function	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity
GO:0003849	Function	3-deoxy-7-phosphoheptulonate synthase activity
GO:0003850	Function	2-deoxyglucose-6-phosphatase activity
GO:0003851	Function	2-hydroxyacylsphingosine 1-beta-galactosyltransferase activity
GO:0003852	Function	2-isopropylmalate synthase activity
GO:0003854	Function	3-beta-hydroxy-delta5-steroid dehydrogenase activity
GO:0003855	Function	3-dehydroquinate dehydratase activity
GO:0003856	Function	3-dehydroquinate synthase activity
GO:0003857	Function	3-hydroxyacyl-CoA dehydrogenase activity
GO:0003858	Function	3-hydroxybutyrate dehydrogenase activity
GO:0003859	Function	3-hydroxybutyryl-CoA dehydratase activity
GO:0003860	Function	3-hydroxyisobutyryl-CoA hydrolase activity
GO:0003861	Function	3-isopropylmalate dehydratase activity
GO:0003862	Function	3-isopropylmalate dehydrogenase activity
GO:0003863	Function	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity
GO:0003864	Function	3-methyl-2-oxobutanoate hydroxymethyltransferase activity
GO:0003865	Function	3-oxo-5-alpha-steroid 4-dehydrogenase activity
GO:0003866	Function	3-phosphoshikimate 1-carboxyvinyltransferase activity
GO:0003867	Function	4-aminobutyrate transaminase activity
GO:0003868	Function	4-hydroxyphenylpyruvate dioxygenase activity
GO:0003870	Function	5-aminolevulinate synthase activity
GO:0003871	Function	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity
GO:0003872	Function	6-phosphofructokinase activity
GO:0003873	Function	6-phosphofructo-2-kinase activity
GO:0003874	Function	6-pyruvoyltetrahydropterin synthase activity
GO:0003875	Function	ADP-ribosylarginine hydrolase activity
GO:0003876	Function	AMP deaminase activity
GO:0003877	Function	ATP adenylyltransferase activity
GO:0003878	Function	ATP citrate synthase activity
GO:0003879	Function	ATP phosphoribosyltransferase activity
GO:0003880	Function	protein C-terminal carboxyl O-methyltransferase activity
GO:0003881	Function	CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity
GO:0003882	Function	CDP-diacylglycerol-serine O-phosphatidyltransferase activity
GO:0003883	Function	CTP synthase activity
GO:0003884	Function	D-amino-acid oxidase activity
GO:0003885	Function	D-arabinono-1,4-lactone oxidase activity
GO:0003886	Function	DNA (cytosine-5-)-methyltransferase activity
GO:0003887	Function	DNA-directed DNA polymerase activity
GO:0003896	Function	DNA primase activity
GO:0003899	Function	DNA-directed 5'-3' RNA polymerase activity
GO:0003904	Function	deoxyribodipyrimidine photo-lyase activity
GO:0003905	Function	alkylbase DNA N-glycosylase activity
GO:0003906	Function	DNA-(apurinic or apyrimidinic site) endonuclease activity
GO:0003908	Function	methylated-DNA-[protein]-cysteine S-methyltransferase activity
GO:0003909	Function	DNA ligase activity
GO:0003910	Function	DNA ligase (ATP) activity
GO:0003911	Function	DNA ligase (NAD+) activity
GO:0003912	Function	DNA nucleotidylexotransferase activity
GO:0003913	Function	DNA photolyase activity
GO:0003914	Function	DNA (6-4) photolyase activity
GO:0003916	Function	DNA topoisomerase activity
GO:0003917	Function	DNA topoisomerase type I activity
GO:0003918	Function	DNA topoisomerase type II (ATP-hydrolyzing) activity
GO:0003919	Function	FMN adenylyltransferase activity
GO:0003920	Function	GMP reductase activity
GO:0003921	Function	GMP synthase activity
GO:0003922	Function	GMP synthase (glutamine-hydrolyzing) activity
GO:0003923	Function	GPI-anchor transamidase activity
GO:0003924	Function	GTPase activity
GO:0003933	Function	GTP cyclohydrolase activity
GO:0003934	Function	GTP cyclohydrolase I activity
GO:0003935	Function	GTP cyclohydrolase II activity
GO:0003937	Function	IMP cyclohydrolase activity
GO:0003938	Function	IMP dehydrogenase activity
GO:0003939	Function	L-iditol 2-dehydrogenase activity
GO:0003940	Function	L-iduronidase activity
GO:0003941	Function	L-serine ammonia-lyase activity
GO:0003942	Function	N-acetyl-gamma-glutamyl-phosphate reductase activity
GO:0003943	Function	N-acetylgalactosamine-4-sulfatase activity
GO:0003944	Function	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase activity
GO:0003945	Function	N-acetyllactosamine synthase activity
GO:0003947	Function	(N-acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase activity
GO:0003948	Function	N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity
GO:0003949	Function	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity
GO:0003950	Function	NAD+ ADP-ribosyltransferase activity
GO:0003951	Function	NAD+ kinase activity
GO:0003952	Function	NAD+ synthase (glutamine-hydrolyzing) activity
GO:0003953	Function	NAD+ nucleosidase activity
GO:0003954	Function	NADH dehydrogenase activity
GO:0003955	Function	NAD(P)H dehydrogenase (quinone) activity
GO:0003956	Function	NAD(P)+-protein-arginine ADP-ribosyltransferase activity
GO:0003957	Function	NAD(P)+ transhydrogenase (B-specific) activity
GO:0003958	Function	NADPH-hemoprotein reductase activity
GO:0003959	Function	NADPH dehydrogenase activity
GO:0003960	Function	NADPH:quinone reductase activity
GO:0003961	Function	O-acetylhomoserine aminocarboxypropyltransferase activity
GO:0003962	Function	cystathionine gamma-synthase activity
GO:0003963	Function	RNA-3'-phosphate cyclase activity
GO:0003964	Function	RNA-directed DNA polymerase activity
GO:0003968	Function	RNA-directed 5'-3' RNA polymerase activity
GO:0003972	Function	RNA ligase (ATP) activity
GO:0003973	Function	(S)-2-hydroxy-acid oxidase activity
GO:0003974	Function	UDP-N-acetylglucosamine 4-epimerase activity
GO:0003975	Function	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity
GO:0003976	Function	UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity
GO:0003977	Function	UDP-N-acetylglucosamine diphosphorylase activity
GO:0003978	Function	UDP-glucose 4-epimerase activity
GO:0003979	Function	UDP-glucose 6-dehydrogenase activity
GO:0003980	Function	UDP-glucose:glycoprotein glucosyltransferase activity
GO:0003983	Function	UTP:glucose-1-phosphate uridylyltransferase activity
GO:0003984	Function	acetolactate synthase activity
GO:0003985	Function	acetyl-CoA C-acetyltransferase activity
GO:0003986	Function	acetyl-CoA hydrolase activity
GO:0003987	Function	acetate-CoA ligase activity
GO:0003988	Function	acetyl-CoA C-acyltransferase activity
GO:0003989	Function	acetyl-CoA carboxylase activity
GO:0003990	Function	acetylcholinesterase activity
GO:0003991	Function	acetylglutamate kinase activity
GO:0003992	Function	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity
GO:0003993	Function	acid phosphatase activity
GO:0003994	Function	aconitate hydratase activity
GO:0003995	Function	acyl-CoA dehydrogenase activity
GO:0003996	Function	acyl-CoA ligase activity
GO:0003997	Function	acyl-CoA oxidase activity
GO:0003998	Function	acylphosphatase activity
GO:0003999	Function	adenine phosphoribosyltransferase activity
GO:0004000	Function	adenosine deaminase activity
GO:0004001	Function	adenosine kinase activity
GO:0004013	Function	adenosylhomocysteinase activity
GO:0004014	Function	adenosylmethionine decarboxylase activity
GO:0004015	Function	adenosylmethionine-8-amino-7-oxononanoate transaminase activity
GO:0004016	Function	adenylate cyclase activity
GO:0004017	Function	adenylate kinase activity
GO:0004018	Function	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity
GO:0004019	Function	adenylosuccinate synthase activity
GO:0004020	Function	adenylylsulfate kinase activity
GO:0004021	Function	L-alanine:2-oxoglutarate aminotransferase activity
GO:0004022	Function	alcohol dehydrogenase (NAD) activity
GO:0004024	Function	alcohol dehydrogenase activity, zinc-dependent
GO:0004025	Function	alcohol dehydrogenase activity, iron-dependent
GO:0004026	Function	alcohol O-acetyltransferase activity
GO:0004027	Function	alcohol sulfotransferase activity
GO:0004028	Function	3-chloroallyl aldehyde dehydrogenase activity
GO:0004029	Function	aldehyde dehydrogenase (NAD) activity
GO:0004030	Function	aldehyde dehydrogenase [NAD(P)+] activity
GO:0004031	Function	aldehyde oxidase activity
GO:0004032	Function	alditol:NADP+ 1-oxidoreductase activity
GO:0004033	Function	aldo-keto reductase (NADP) activity
GO:0004034	Function	aldose 1-epimerase activity
GO:0004035	Function	alkaline phosphatase activity
GO:0004037	Function	allantoicase activity
GO:0004038	Function	allantoinase activity
GO:0004039	Function	allophanate hydrolase activity
GO:0004040	Function	amidase activity
GO:0004042	Function	acetyl-CoA:L-glutamate N-acetyltransferase activity
GO:0004043	Function	L-aminoadipate-semialdehyde dehydrogenase activity
GO:0004044	Function	amidophosphoribosyltransferase activity
GO:0004045	Function	aminoacyl-tRNA hydrolase activity
GO:0004046	Function	aminoacylase activity
GO:0004047	Function	aminomethyltransferase activity
GO:0004048	Function	anthranilate phosphoribosyltransferase activity
GO:0004049	Function	anthranilate synthase activity
GO:0004051	Function	arachidonate 5-lipoxygenase activity
GO:0004052	Function	arachidonate 12-lipoxygenase activity
GO:0004053	Function	arginase activity
GO:0004054	Function	arginine kinase activity
GO:0004055	Function	argininosuccinate synthase activity
GO:0004056	Function	argininosuccinate lyase activity
GO:0004057	Function	arginyltransferase activity
GO:0004058	Function	aromatic-L-amino-acid decarboxylase activity
GO:0004059	Function	aralkylamine N-acetyltransferase activity
GO:0004060	Function	arylamine N-acetyltransferase activity
GO:0004061	Function	arylformamidase activity
GO:0004062	Function	aryl sulfotransferase activity
GO:0004063	Function	aryldialkylphosphatase activity
GO:0004064	Function	arylesterase activity
GO:0004065	Function	arylsulfatase activity
GO:0004066	Function	asparagine synthase (glutamine-hydrolyzing) activity
GO:0004067	Function	asparaginase activity
GO:0004068	Function	aspartate 1-decarboxylase activity
GO:0004069	Function	L-aspartate:2-oxoglutarate aminotransferase activity
GO:0004070	Function	aspartate carbamoyltransferase activity
GO:0004071	Function	aspartate-ammonia ligase activity
GO:0004072	Function	aspartate kinase activity
GO:0004073	Function	aspartate-semialdehyde dehydrogenase activity
GO:0004074	Function	biliverdin reductase activity
GO:0004075	Function	biotin carboxylase activity
GO:0004076	Function	biotin synthase activity
GO:0004077	Function	biotin-[acetyl-CoA-carboxylase] ligase activity
GO:0004078	Function	biotin-[methylcrotonoyl-CoA-carboxylase] ligase activity
GO:0004079	Function	biotin-[methylmalonyl-CoA-carboxytransferase] ligase activity
GO:0004080	Function	biotin-[propionyl-CoA-carboxylase (ATP-hydrolyzing)] ligase activity
GO:0004081	Function	bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity
GO:0004082	Function	bisphosphoglycerate mutase activity
GO:0004083	Function	bisphosphoglycerate 2-phosphatase activity
GO:0004084	Function	branched-chain-amino-acid transaminase activity
GO:0004085	Function	butyryl-CoA dehydrogenase activity
GO:0004087	Function	carbamoyl-phosphate synthase (ammonia) activity
GO:0004088	Function	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
GO:0004089	Function	carbonate dehydratase activity
GO:0004090	Function	carbonyl reductase (NADPH) activity
GO:0004092	Function	carnitine O-acetyltransferase activity
GO:0004095	Function	carnitine O-palmitoyltransferase activity
GO:0004096	Function	catalase activity
GO:0004097	Function	catechol oxidase activity
GO:0004098	Function	cerebroside-sulfatase activity
GO:0004099	Function	chitin deacetylase activity
GO:0004100	Function	chitin synthase activity
GO:0004102	Function	choline O-acetyltransferase activity
GO:0004103	Function	choline kinase activity
GO:0004104	Function	cholinesterase activity
GO:0004105	Function	choline-phosphate cytidylyltransferase activity
GO:0004106	Function	chorismate mutase activity
GO:0004107	Function	chorismate synthase activity
GO:0004108	Function	citrate (Si)-synthase activity
GO:0004109	Function	coproporphyrinogen oxidase activity
GO:0004111	Function	creatine kinase activity
GO:0004112	Function	cyclic-nucleotide phosphodiesterase activity
GO:0004113	Function	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity
GO:0004114	Function	3',5'-cyclic-nucleotide phosphodiesterase activity
GO:0004115	Function	3',5'-cyclic-AMP phosphodiesterase activity
GO:0004117	Function	calmodulin-dependent cyclic-nucleotide phosphodiesterase activity
GO:0004118	Function	cGMP-stimulated cyclic-nucleotide phosphodiesterase activity
GO:0004119	Function	cGMP-inhibited cyclic-nucleotide phosphodiesterase activity
GO:0004121	Function	cystathionine beta-lyase activity
GO:0004122	Function	cystathionine beta-synthase activity
GO:0004123	Function	cystathionine gamma-lyase activity
GO:0004124	Function	cysteine synthase activity
GO:0004125	Function	L-seryl-tRNASec selenium transferase activity
GO:0004126	Function	cytidine deaminase activity
GO:0004127	Function	cytidylate kinase activity
GO:0004128	Function	cytochrome-b5 reductase activity, acting on NAD(P)H
GO:0004129	Function	cytochrome-c oxidase activity
GO:0004130	Function	cytochrome-c peroxidase activity
GO:0004131	Function	cytosine deaminase activity
GO:0004132	Function	dCMP deaminase activity
GO:0004133	Function	glycogen debranching enzyme activity
GO:0004134	Function	4-alpha-glucanotransferase activity
GO:0004135	Function	amylo-alpha-1,6-glucosidase activity
GO:0004136	Function	deoxyadenosine kinase activity
GO:0004137	Function	deoxycytidine kinase activity
GO:0004138	Function	deoxyguanosine kinase activity
GO:0004139	Function	deoxyribose-phosphate aldolase activity
GO:0004140	Function	dephospho-CoA kinase activity
GO:0004141	Function	dethiobiotin synthase activity
GO:0004142	Function	diacylglycerol cholinephosphotransferase activity
GO:0004143	Function	diacylglycerol kinase activity
GO:0004144	Function	diacylglycerol O-acyltransferase activity
GO:0004145	Function	diamine N-acetyltransferase activity
GO:0004146	Function	dihydrofolate reductase activity
GO:0004147	Function	dihydrolipoamide branched chain acyltransferase activity
GO:0004148	Function	dihydrolipoyl dehydrogenase activity
GO:0004149	Function	dihydrolipoyllysine-residue succinyltransferase activity
GO:0004150	Function	dihydroneopterin aldolase activity
GO:0004151	Function	dihydroorotase activity
GO:0004152	Function	dihydroorotate dehydrogenase activity
GO:0004153	Function	dihydropterin deaminase activity
GO:0004154	Function	dihydropterin oxidase activity
GO:0004155	Function	6,7-dihydropteridine reductase activity
GO:0004156	Function	dihydropteroate synthase activity
GO:0004157	Function	dihydropyrimidinase activity
GO:0004158	Function	dihydroorotate oxidase activity
GO:0004159	Function	dihydrouracil dehydrogenase (NAD+) activity
GO:0004160	Function	dihydroxy-acid dehydratase activity
GO:0004161	Function	dimethylallyltranstransferase activity
GO:0004162	Function	dimethylnitrosamine demethylase activity
GO:0004163	Function	diphosphomevalonate decarboxylase activity
GO:0004164	Function	diphthine synthase activity
GO:0004165	Function	dodecenoyl-CoA delta-isomerase activity
GO:0004167	Function	dopachrome isomerase activity
GO:0004168	Function	dolichol kinase activity
GO:0004169	Function	dolichyl-phosphate-mannose-protein mannosyltransferase activity
GO:0004170	Function	dUTP diphosphatase activity
GO:0004174	Function	electron-transferring-flavoprotein dehydrogenase activity
GO:0004175	Function	endopeptidase activity
GO:0004176	Function	ATP-dependent peptidase activity
GO:0004177	Function	aminopeptidase activity
GO:0004180	Function	carboxypeptidase activity
GO:0004181	Function	metallocarboxypeptidase activity
GO:0004185	Function	serine-type carboxypeptidase activity
GO:0004190	Function	aspartic-type endopeptidase activity
GO:0004197	Function	cysteine-type endopeptidase activity
GO:0004198	Function	calcium-dependent cysteine-type endopeptidase activity
GO:0004222	Function	metalloendopeptidase activity
GO:0004252	Function	serine-type endopeptidase activity
GO:0004298	Function	threonine-type endopeptidase activity
GO:0004300	Function	enoyl-CoA hydratase activity
GO:0004301	Function	epoxide hydrolase activity
GO:0004303	Function	estradiol 17-beta-dehydrogenase activity
GO:0004304	Function	estrone sulfotransferase activity
GO:0004305	Function	ethanolamine kinase activity
GO:0004306	Function	ethanolamine-phosphate cytidylyltransferase activity
GO:0004307	Function	ethanolaminephosphotransferase activity
GO:0004308	Function	exo-alpha-sialidase activity
GO:0004309	Function	exopolyphosphatase activity
GO:0004310	Function	farnesyl-diphosphate farnesyltransferase activity
GO:0004311	Function	farnesyltranstransferase activity
GO:0004312	Function	fatty acid synthase activity
GO:0004313	Function	[acyl-carrier-protein] S-acetyltransferase activity
GO:0004314	Function	[acyl-carrier-protein] S-malonyltransferase activity
GO:0004315	Function	3-oxoacyl-[acyl-carrier-protein] synthase activity
GO:0004316	Function	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity
GO:0004317	Function	3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity
GO:0004318	Function	enoyl-[acyl-carrier-protein] reductase (NADH) activity
GO:0004319	Function	enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity
GO:0004320	Function	oleoyl-[acyl-carrier-protein] hydrolase activity
GO:0004321	Function	fatty-acyl-CoA synthase activity
GO:0004322	Function	ferroxidase activity
GO:0004324	Function	ferredoxin-NADP+ reductase activity
GO:0004325	Function	ferrochelatase activity
GO:0004326	Function	tetrahydrofolylpolyglutamate synthase activity
GO:0004328	Function	formamidase activity
GO:0004329	Function	formate-tetrahydrofolate ligase activity
GO:0004331	Function	fructose-2,6-bisphosphate 2-phosphatase activity
GO:0004332	Function	fructose-bisphosphate aldolase activity
GO:0004333	Function	fumarate hydratase activity
GO:0004334	Function	fumarylacetoacetase activity
GO:0004335	Function	galactokinase activity
GO:0004336	Function	galactosylceramidase activity
GO:0004337	Function	geranyltranstransferase activity
GO:0004338	Function	glucan exo-1,3-beta-glucosidase activity
GO:0004339	Function	glucan 1,4-alpha-glucosidase activity
GO:0004340	Function	glucokinase activity
GO:0004341	Function	gluconolactonase activity
GO:0004342	Function	glucosamine-6-phosphate deaminase activity
GO:0004343	Function	glucosamine 6-phosphate N-acetyltransferase activity
GO:0004345	Function	glucose-6-phosphate dehydrogenase activity
GO:0004346	Function	glucose-6-phosphatase activity
GO:0004347	Function	glucose-6-phosphate isomerase activity
GO:0004348	Function	glucosylceramidase activity
GO:0004349	Function	glutamate 5-kinase activity
GO:0004350	Function	glutamate-5-semialdehyde dehydrogenase activity
GO:0004351	Function	glutamate decarboxylase activity
GO:0004352	Function	glutamate dehydrogenase (NAD+) activity
GO:0004353	Function	glutamate dehydrogenase [NAD(P)+] activity
GO:0004354	Function	glutamate dehydrogenase (NADP+) activity
GO:0004355	Function	glutamate synthase (NADPH) activity
GO:0004356	Function	glutamate-ammonia ligase activity
GO:0004357	Function	glutamate-cysteine ligase activity
GO:0004358	Function	glutamate N-acetyltransferase activity
GO:0004359	Function	glutaminase activity
GO:0004360	Function	glutamine-fructose-6-phosphate transaminase (isomerizing) activity
GO:0004361	Function	glutaryl-CoA dehydrogenase activity
GO:0004362	Function	glutathione-disulfide reductase activity
GO:0004363	Function	glutathione synthase activity
GO:0004364	Function	glutathione transferase activity
GO:0004365	Function	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
GO:0004366	Function	glycerol-3-phosphate O-acyltransferase activity
GO:0004367	Function	glycerol-3-phosphate dehydrogenase [NAD+] activity
GO:0004368	Function	glycerol-3-phosphate dehydrogenase (quinone) activity
GO:0004370	Function	glycerol kinase activity
GO:0004371	Function	glycerone kinase activity
GO:0004372	Function	glycine hydroxymethyltransferase activity
GO:0004373	Function	glycogen (starch) synthase activity
GO:0004375	Function	glycine dehydrogenase (decarboxylating) activity
GO:0004376	Function	glycolipid mannosyltransferase activity
GO:0004377	Function	GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity
GO:0004378	Function	GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity
GO:0004379	Function	glycylpeptide N-tetradecanoyltransferase activity
GO:0004380	Function	glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase activity
GO:0004381	Function	fucosylgalactoside 3-alpha-galactosyltransferase activity
GO:0004382	Function	guanosine-diphosphatase activity
GO:0004383	Function	guanylate cyclase activity
GO:0004385	Function	guanylate kinase activity
GO:0004386	Function	helicase activity
GO:0004392	Function	heme oxygenase (decyclizing) activity
GO:0004394	Function	heparan sulfate 2-O-sulfotransferase activity
GO:0004395	Function	hexaprenyldihydroxybenzoate methyltransferase activity
GO:0004396	Function	hexokinase activity
GO:0004397	Function	histidine ammonia-lyase activity
GO:0004398	Function	histidine decarboxylase activity
GO:0004399	Function	histidinol dehydrogenase activity
GO:0004400	Function	histidinol-phosphate transaminase activity
GO:0004401	Function	histidinol-phosphatase activity
GO:0004402	Function	histone acetyltransferase activity
GO:0004407	Function	histone deacetylase activity
GO:0004408	Function	holocytochrome-c synthase activity
GO:0004409	Function	homoaconitate hydratase activity
GO:0004410	Function	homocitrate synthase activity
GO:0004411	Function	homogentisate 1,2-dioxygenase activity
GO:0004412	Function	homoserine dehydrogenase activity
GO:0004413	Function	homoserine kinase activity
GO:0004414	Function	homoserine O-acetyltransferase activity
GO:0004415	Function	hyalurononglucosaminidase activity
GO:0004416	Function	hydroxyacylglutathione hydrolase activity
GO:0004417	Function	hydroxyethylthiazole kinase activity
GO:0004418	Function	hydroxymethylbilane synthase activity
GO:0004419	Function	hydroxymethylglutaryl-CoA lyase activity
GO:0004420	Function	hydroxymethylglutaryl-CoA reductase (NADPH) activity
GO:0004421	Function	hydroxymethylglutaryl-CoA synthase activity
GO:0004422	Function	hypoxanthine phosphoribosyltransferase activity
GO:0004423	Function	iduronate-2-sulfatase activity
GO:0004424	Function	imidazoleglycerol-phosphate dehydratase activity
GO:0004425	Function	indole-3-glycerol-phosphate synthase activity
GO:0004427	Function	inorganic diphosphatase activity
GO:0004430	Function	1-phosphatidylinositol 4-kinase activity
GO:0004435	Function	phosphatidylinositol phospholipase C activity
GO:0004438	Function	phosphatidylinositol-3-phosphatase activity
GO:0004439	Function	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity
GO:0004441	Function	inositol-1,4-bisphosphate 1-phosphatase activity
GO:0004445	Function	inositol-polyphosphate 5-phosphatase activity
GO:0004446	Function	inositol-hexakisphosphate phosphatase activity
GO:0004447	Function	iodide peroxidase activity
GO:0004448	Function	isocitrate dehydrogenase activity
GO:0004449	Function	isocitrate dehydrogenase (NAD+) activity
GO:0004450	Function	isocitrate dehydrogenase (NADP+) activity
GO:0004451	Function	isocitrate lyase activity
GO:0004452	Function	isopentenyl-diphosphate delta-isomerase activity
GO:0004453	Function	juvenile-hormone esterase activity
GO:0004454	Function	ketohexokinase activity
GO:0004455	Function	ketol-acid reductoisomerase activity
GO:0004456	Function	phosphogluconate dehydratase activity
